Reference,Project name,"Country
(ISO-3)",Date online,Decomission date,Status,Technology,,,,Product,End use,,,,,,,,,,,,,,Announced Size,Normalised capacity,,,,"IEA zero-carbon estimated normalised capacity
[Nm³ H₂/hour]",Refs,"Geographical details
Decimal Degrees
(Lat. N is positive, Long. E is positive)",,,,,,,
44,Fébus Pau bus station HRS,FRA,2021,,Operational,PEM,,Grid,,H2,,,,,,1,,,,,,,,,0.75 MW,0.75,144,0.1,,144,[547],"Pau, Pyrénées-Atlantiques, Nouvelle-Aquitaine, France",43.31136409,-0.362005309,,,,,
46,"Solothurn, STORE&GO",CHE,2019,,Operational,PEM,,Grid,,CH4,,,,,,,,,,,,,1,,0.35 MW,0.35,67,0.1,,67,[372],Solothurn,47.20726589,7.534500701,,,,,
49,Sarawak Energy,MYS,2019,,Operational,ALK,,Other/unknown,,H2,,,,,,1,,,,,,,,,60 Nm3/h,0.276,60,0.0,,60,[240] [357],,,,,,,,
50,Vårgårda Bostäder housing complex,SWE,2019,,Operational,ALK,,Dedicated renewable,Solar PV,H2,,,,,,,,1,,,,,,,60 Nm3/h,0.276,60,0.0,,60,,Vargarda ,58.05926991,12.81683708,,,,,
51,SoCalGas-NREL,USA,2019,,Operational,Other Electrolysis,Unknown PtX,Other/unknown,,CH4,,,,,,,,,,,,,1,,0.25 MW,0.25,56,0.0,,56,[3] [109],,,,,,,,
52,Stromlückenfüller 2nd phase,DEU,2019,,Operational,PEM,,Grid,,H2,,,,,,,,1,,,,,,,0.2 MW,0.2,38,0.0,,38,[427],,,,,,,,
54,ATCO clean energy innovation hub,AUS,2019,,Operational,PEM,,Grid,,H2,,,,,,,1,,,1,,,,,0.15MW,0.15,29,0.0,,29,[306] [307],,,,,,,,
55,Tauron CO2-SNG,POL,2019,,Operational,Other Electrolysis,Unknown PtX,Grid,,CH4,,,,,,,,,,,,,1,,18 Nm3/h,0.081,18,0.0,,18,"[3], [92], [93]",,,,,,,,
56,Methane Synthesis test facility in Koshijihara Plant of INPEX’s - Nagaoa,JPN,2019,,DEMO,Other Electrolysis,Unknown PtX,Other/Unknown,,,,,,,,,,,,,,,,,,,,,,0,,Nagaoka,37.46907169,138.8410337,,,,,
58,VTT Bio economy+,FIN,2019,,DEMO,PEM,,Other/unknown,,Synfuels,,,,,,,,,,,,1,,,0.025MW,0.025,5,0.0,,5,[234] [389],,,,,,,,
59,Kopernikus,DEU,2021,,DEMO,SOEC,,Other/unknown,,Synfuels,,,,,,,,,,,,1,,,0.01 MW - 10m3 H2/h,0.01,3,0.0,,3,[445],karlsruher institut für technologie,49.01252508,8.416944469,,,,,
60,Rozenburg Power2Gas Phase 2,NLD,2019,,DEMO,PEM,,Grid,,H2,,,,,,,,1,,,,,,,0.007 MW,0.007,1,0.0,,1,"[7], [9], [148] [464]",,,,,,,,
61,Balance project,FIN,2019,,DEMO,SOEC,,Other/unknown,,Various,,,,,,,1,,,,,1,,,0.006MW,0.006,2,0.0,,2,[215],,,,,,,,
62,H2One - SP Group,SGP,2019,,Operational,PEM,,Other/unknown,,H2,,,,,,1,,,,,,,,,1 Nm3 H2/h,0.005,1,0.0,,1,[556],,,,,,,,
63,Falkenhagen STORE&GO,DEU,2018,,Operational,PEM,,Grid,,CH4,,,,,,,,,,,,,1,,1 MW - 180 Nm3 H2/h,1,192,0.1,,192,[372] [737],,,,,,,,
64,"NEDO kofu city, Yamanashi Prefecture",JPN,2019,,Operational,PEM,,Other/unknown,,H2,,,,,,,,,1,,,,,,1.5 MW,1.5,288,0.2,,288,"[109], [201], [705]",Yamanashi Prefecture,35.61528621,138.6942969,,,,,
65,Semakau island microgrid Engie (SPORE),SGP,2019,,Operational,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,1,1,,,,,,,,50 kW,0.05,11,0.0,,11,"[244], [707]",,,,,,,,
66,H2PLAZA - Toyota Industries Corporation’s Takahama,JPN,2019,,Operational,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,1,,,,,,,,,10 Nm³ H₂/h,0.045,10,0.0,,10,"[554], [708]",,,,,,,,
67,Localhy,DEU,2019,,Operational,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,1,,,,,,,,,,,,,,0,[601][602],,,,,,,,
68,Wind to Gas Südermarsch,DEU,2019,,Operational,PEM,,Dedicated renewable,Onshore wind,H2,,,,,,1,,1,,,,,,,2.4 MW - 450m3 H2/h,2.4,462,0.4,,462,[222] [431] [737],Brunsbüttel,53.91224209,9.13196747,,,,,
69,Carbon2Chem,DEU,2018,,DEMO,ALK,,Grid,,Various,,1,1,,1,,,,,,,,,,2 MW,2,435,0.3,,435,[459],Duisburg,51.49141758,6.723969506,,,,,
70,SunLine Transit Agency,USA,2018,,Operational,PEM,,Other/unknown,,H2,,,,,,1,,,,,,,,,1.5MW,1.5,288,0.2,,288,[405],,,,,,,,
71,HyBALANCE,DNK,2020,,Operational,PEM,,Dedicated renewable,Onshore wind,H2,,,,,,1,,1,,,,,,,1.5 MW,1.5,288,0.2,,288,"[2], [4], [8], [48], [49]",Hobro,56.63941921,9.79841809,,,,,
72,Aberdeen Conference Center,GBR,2018,,Operational,ALK,,Other/unknown,,H2,,,,,,,,,1,1,,,,,1MW - 200m3 H2/h,1,217,0.2,,217,[460],,,,,,,,
73,Lam Takhong Wind Hydrogen Hybrid Project- EGAT,THA,2018,,Operational,PEM,,Other/unknown,,H2,,,,,,,1,,,,,,,,1MW - 200m3 H2/h,1,192,0.1,,192,[407],,,,,,,,
74,H2ORIZON,DEU,2020,,Operational,PEM,,Other/unknown,,H2,,,,,,1,1,,1,,,,,,0.8 MW,0.8,154,0.1,,154,"[31], [137], [138] [409]",Lampoldshausen,49.2644733,9.401743,,,,,
75,ASKO Midt-Norge,NOR,2017,,Operational,ALK,,Dedicated renewable,Solar PV,H2,,,,,,1,,,,,,,,,0.7Mw or 150m3 H2/h,0.7,152,0.1,,152,[476],Trondheim,63.34327247,10.37333,,,,,
76,Underground Sun Conversion,AUT,2018,,Operational,ALK,,Dedicated renewable,Solar PV,CH4,,,,,,,,,,,,,1,,0.6MW,0.6,130,0.1,,130,[399],Gampern,47.99027408,13.55381783,,,,,
77,Hydrogen plant - Orkney Islands - BIG HIT 1st phase,GBR,2017,,Operational,PEM,,Dedicated renewable,Onshore wind,H2,,,,,,1,1,1,,,,,,,0.7 MW,0.7,135,0.1,,135,[371] [383],Eday,59.1649151,-2.788356039,,,,,
80,"Windgas Haurup, 1st phase",DEU,2018,,Operational,PEM,,Dedicated renewable,Onshore wind,H2,,,,,,,,1,,,,,,,0.225 MW,0.225,43,0.0,,43,[440],Haurup,54.72670653,9.347591285,,,,,
82,"Troia,  STORE&GO",ITA,2018,,Operational,PEM,,Grid,,CH4,,,,,,,,,,,,,1,,0.2MW,0.2,38,0.0,,38,[372],,,,,,,,
83,GNVert H2 ,FRA,2018,,Operational,PEM,,Other/unknown,,H2,,,,,,1,,,,,,,,,37 Nm3 H2/h,0.192,37,0.0,,37,[392],"Rungis, Val-de-Marne, Île-de-France, France",48.7494007,2.350108197,,,,,
85,Tongji solar hybrid hydrogen refueling station,CHN,2018,,Operational,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,,1,,,,,,,,,25 Nm3 H2/h,0.113,25,0.0,,25,,Shanghai,31.25068451,121.4364995,,,,,
87,Methanation at Eichhof,DEU,2018,,Operational,PEM,,Other/unknown,,CH4,,,,,,,,,,,,,1,,0.05 MW,0.05,10,0.0,,10,,,,,,,,,
88,"CoSin: Synthetic Natural Gas from Sewage, Barcelona",ESP,2018,,Operational,SOEC,,Other/unknown,,CH4,,,,,,,,,,,,,1,,20m3 CH4/h,0.033,9,0.0,,9,"[120], [202], [203] [402]",,,,,,,,
89,REFLEX,ITA,2018,,Operational,SOEC,,Other/unknown,,H2,,,,,,,1,,,,,,,,10 Nm3 H2/h,0.038,10,0.0,,10,[401],,,,,,,,
90,Sendai City,JPN,2018,,Operational,PEM,,Other/unknown,,H2,,,,,,,1,,,,,,,,0.025MW,0.025,5,0.0,,5,[403],,,,,,,,
92,"Rostock, Exytron Demonstrationsanlage",DEU,2018,,Operational,ALK,,Grid,,CH4,,,,,,,,,,,,,1,,4 Nm3 H2/h,0.018,4,0.0,,4,"[2], [165] [373]",,,,,,,,
93,Tokyu Construction Institute of Technology,JPN,2018,,Operational,PEM,,Other/unknown,,H2,,,,,,,1,,,,,,,,1 Nm3 H2/h,0.005,1,0.0,,1,[543],,,,,,,,
94,Rakuten Seimei Park Miyagi,JPN,2018,,Operational,PEM,,Other/unknown,,H2,,,,,,,,,1,,,,,,1 Nm3 H2/h,0.005,1,0.0,,1,,,,,,,,,
95,"MicroPyros, Altenstant",DEU,2018,,Operational,Other Electrolysis,Unknown PtX,Other/unknown,,CH4,,,,,,,,,,,,,1,,0.25 Nm3 H2/h,0.001,0,0.0,,0,[384],,,,,,,,
96,Oxelösund Forklifts,SWE,2018,,Operational,PEM,,Other/unknown,,H2,,,,,,1,,,,,,,,,,,,,,0,[404],,,,,,,,
97,H21 Leeds City Gate - Teesside hydrogen,GBR,2035,,Feasibility study,NG w CCUS,ATR+CCUS,,,H2,1,,,,1,1,,1,,,,,,,1GW H2 - 1.5Mt CO2/y,,3890730,3033.4,15000000,1880647,[269] [302] [1121],Teesside,54.57668992,-1.252393053,,,,,
111,"Hynet Northwest, phase 1 (Essar Stanlow refinery)",GBR,2027,,Feasibility study,NG w CCUS,ATR+CCUS,,,H2,1,,,,1,1,1,1,,,,,,,3 TWh H2/y - 0.65Mt CO2/y,,115438,90.0," 650,000 ",81495,"[300], [709] 2024 ref [3110]",Essar Stanlow refinery,53.27703121,-2.841869148,,,,,
113,"Baicheng, Jilin wind-solar project",CHN,2035,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,,,,,,,,,,,1 Mt H2/y production,11543.789,2565287,2000.0,,2565287,[773],Baicheng,45.66828885,122.8463801,,,,,
115,"Alzey, Exytron Null-E",DEU,2017,,Operational,ALK,,Other/unknown,,H2,,,,,,,1,,1,,,,,,0.0625MW,0.0625,14,0.0,,14,"[2], [166], [167] [409]",,,,,,,,
119,Energy observer,FRA,2017,,Operational,PEM,,Other/unknown,,H2,,,,,,1,1,,,,,,,,9 Nm3/h,0.047,9,0.0,,9,[250] [365],,,,,,,,
120,Haldor Topsoe - El-Opgraderet Biogas II,DNK,2017,2020,DEMO,SOEC,,Other/unknown,,CH4,,,,,,,,,,,,,1,,10 Nm3/h,0.038,10,0.0,,10,[126],Haldor Topsoe HQ,55.82093676,12.54037049,,,,,
121,Musashi-Mizonokuchi Station,JPN,2017,,Operational,PEM,,Other/unknown,,H2,,,,,,,1,,,,,,,,1 Nm3/h,0.005,1,0.0,,1,[282],,,,,,,,
122,"H2One - Hydrogen Application Center, Fuchu Complex",JPN,2017,,Operational,PEM,,Other/unknown,,H2,,,,,,1,,,,,,,,,1 Nm3/h,0.005,1,0.0,,1,[553],,,,,,,,
123,H2One - Asahi Breweries in Ibaraki,JPN,2017,,Operational,PEM,,Other/unknown,,H2,,,,,,1,,,,,,,,,1 Nm3/h,0.005,1,0.0,,1,[555],,,,,,,,
124,Costa Rica Transportation Ecosystem Project,CRI,2017,,Operational,PEM,,Dedicated renewable,Others/Various,H2,,,,,,1,,,,,,,,,1 Nm3/h,0.005,1,0.0,,1,,Guanacaste,10.42109784,-85.42096886,,,,,
125,Cerro Pabellón Microgrid 450 kWh Hydrogen ESS,CHL,2017,,Operational,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,,,1,,,,,,,,50 kW,0.05,11,0.0,,11,"[108], [199] [410]",Ollague,-21.22472701,-68.25178996,,,,,
126,"Energy in the Container, Fraunhofer IISB, Erlangen, Leistungszentren Elektroniksysteme (LZE)",DEU,2017,,DEMO,PEM,,Other/unknown,,H2,,,,,,,1,,,,,,,,,,,,,0,,,,,,,,,
127,Hassfurt,DEU,2016,,Operational,PEM,,Grid,,H2,,,,,,,1,1,1,,,,,,1.25MW,1.25,240,0.2,,240,[2] [7] [380] [737],,,,,,,,
130,GreenHydroChem Central German Chemical Triangle,DEU,,,Feasibility study,PEM,,Other/unknown,,H2,1,,,,1,,1,,,,,,,,120MW,120,23077,18.0,,23077,[473],Central German Chemical Triangle,51.43777627,12.04669172,,,,,
134,HPEM2GAS (R&D),DEU,2016,,Operational,PEM,,Other/unknown,,H2,,,,,,,,1,,,,,,,0.2MW,0.2,38,0.0,,38,[119][200],,,,,,,,
135,Hamburg - Schnackenburgallee,DEU,2016,,Operational,PEM,,Grid,,H2,,,,,,1,,,,,,,,,0.185 MW,0.185,36,0.0,,36,[2][7][45],Hamburg,53.56142698,9.977259977,,,,,
136,smart grid solar - arzberg,DEU,2016,2017,DEMO,PEM,,Dedicated renewable,Solar PV,H2,,,,,,,1,1,,,,,,,0.075MW,0.075,14,0.0,,14,[242],Arzberg,50.05984314,12.19113719,,,,,
137,"Naval Facilities Engineering Command, Engineering and Expeditionary Warfare Center",USA,2016,,DEMO,SOEC,,Other/unknown,,H2,,,,,,,1,,,,,,,,0.05MW,0.05,13,0.0,,13,[477],,,,,,,,
138,Laboratory System at IFE Kjeller Pahse 2,NOR,2016,,Operational,PEM,,Other/unknown,,H2,,,,,,,1,,,,,,,,2 Nm3 H2/h,0.010,2,0.0,,2,"[1], [5] [468]",,,,,,,,
139,"H2One - Kyushu Resort Hotel,  Huis Ten Bosch",JPN,2016,,Operational,PEM,,Grid,,H2,,,,,,,1,,,,,,,,1 Nm3 H2/h,0.005,1,0.0,,1,[551],,,,,,,,
140,H2One - Yokohama Cargo Center,JPN,2016,,Operational,PEM,,Grid,,H2,,,,,,,1,,,,,,,,1 Nm3 H2/h,0.005,1,0.0,,1,[552],,,,,,,,
142,WindGas Hamburg-Reitbrook,DEU,2015,2023,DEMO,PEM,,Dedicated renewable,Onshore wind,H2,,,,,,1,,,,,,,,,1.5 MW,1.5,288,0.2,,288,[1] [2] [4] [7] [8] [9] [34],Reitbrook,53.46684592,10.13834597,,,,,
143,"RH2 Grapzow, Mecklenburg Vorpommern",DEU,2015,,Operational,ALK,,Dedicated renewable,Onshore wind,H2,,,,,,,1,,,,,,,,1MW - 200 Nm3 H2/h,1,217,0.2,,217,[386] [737],Grapzow,53.71192125,13.29163746,,,,,
146,P2G-Biocat - Continued (Ref 508),DNK,2015,,Operational,ALK,,Other/unknown,,CH4,,,,,,,,,,,,,1,,0.5 MW - 100 Nm3H2/h,0.5,109,0.1,,109,[3] [4] [7],,,,,,,,
147,Raglan Nickel mine,CAN,2015,2023,DEMO,ALK,,Dedicated renewable,Onshore wind,H2,,,,,,,1,,,,,,,,60 Nm3/h,0.276,60,0.0,,60,"[4], [109], [214]","Nunavik, Quebec",57.74311406,-70.38046052,,,,,
148,Don Quichote,BEL,2015,,Operational,ALK,,Dedicated renewable,Onshore wind,H2,,,,,,1,,,,,,,,,0.3 MW - 60 Nm3 H2/h,0.3,65,0.1,,65,[4] [388],Halle,50.73127486,4.219267381,,,,,
149,Regio Energie Solothurn/Aarmat hybrid plant,CHE,2015,,DEMO,PEM,,Other/unknown,,H2,,,,,,,,1,,,,,,,0.7MW - 60m3 H2/h,0.7,135,0.1,,135,"[2], [109], [110] [469]",,,,,,,,
151,RWE PtG plant Ibbenbüren,DEU,2015,2017,DEMO,PEM,,Grid,,H2,,,,,,,1,1,1,,,,,,0.15MW,0.15,29,0.0,,29,"[1], [2], [7], [9], [82] [385]",,,,,,,,
155,DemoSNG,SWE,2015,,DEMO,PEM,,Other/unknown,,CH4,,,,,,,,,,,,,1,,28 Nm3/h,0.146,28,0.0,,28,[387],,,,,,,,
163,Stromlückenfüller 1st phase,DEU,2015,,Operational,PEM,,Grid,,H2,,,,,,,1,,,,,,,,0.02MW,0.02,4,0.0,,4,[427],,,,,,,,
164,Higashi-Ogishima-Naga-Park,JPN,2015,2021,DEMO,PEM,,Dedicated renewable,Solar PV,H2,,,,,,,,,,1,,,,,1 Nm3/h,0.005,1,0.0,,1,[280],Kawasaki ,35.51710941,139.7587348,,,,,
165,Emden II Upscaling,DEU,2015,2020,DEMO,PEM,,Other/unknown,,CH4,,,,,,,1,,,,,,1,,,,,,,0,[2] [3] [121],,,,,,,,
167,SYNFUEL,DNK,2015,2018,DEMO,SOEC,,Other/unknown,,Synfuels,,,,,,,,,,,,1,,,,,,,,0,[3] [192],,,,,,,,
169,"Hydrogen Valley South Tyrol - Bolzano, CHIC",ITA,2014,,Operational,ALK,,Other/unknown,,H2,,,,,,1,,,,,,,,,1.5MW - 180 Nm3 H2/h,1.5,326,0.3,,326,[864] [865],Bolzano,46.47409854,11.31719371,,,,,
173,H2BER (Berlin airport),DEU,2014,,Operational,ALK,,Dedicated renewable,Onshore wind,H2,,,,,,1,,,,,,,,,0.5 MW - 100 Nm3H2/h,0.5,109,0.1,,109,"[2], [7], [97] [409]",Berlin,52.36999214,13.52429883,,,,,
198,"Hanau, Wolfgang Industrial Park",DEU,2014,,Operational,PEM,,Other/unknown,,H2,,,,,,,1,1,,,,,,,4 Nm3 H2/h,0.021,4,0.0,,4,"[2], [177], [178]",,,,,,,,
199,"MicroPyros, Staubing",DEU,2014,,Operational,Other Electrolysis,,Other/unknown,,CH4,,,,,,,,,,,,,1,,,,,,,0,[7] [143] [144],,,,,,,,
