Country,End-use,Number of plants,Clean consumption T/Y,Other consumption T/Y,Total consumption,Year
Sweden,Other chemicals,2.0,561.9622642,22360.18673,22922.149,2024.0
Sweden,Steel,1.0,505.7660377,,505.7660377,2024.0
Switzerland,Refining,1.0,,10314.43919,10314.43919,2024.0
Switzerland,E-fuels,1.0,280.9811321,,280.9811321,2024.0
Switzerland,Mobility,,528.0,,528.0,2024.0
Switzerland,Other,,56.19622642,514.194,570.3902264,2024.0
Switzerland,Other chemicals,3.0,224.7849057,5736.320894,5961.1058,2024.0
United Kingdom,Refining,9.0,,303339.8144,303339.8144,2024.0
United Kingdom,Industrial heat,5.0,,19935.22201,19935.22201,2024.0
United Kingdom,Ammonia,1.0,,33078.03075,33078.03075,2024.0
United Kingdom,Other,,,12138.64866,12138.64866,2024.0
United Kingdom,Blending in natural gas pipelines,1.0,56.19622642,,56.19622642,2024.0
United Kingdom,Mobility,,738.0,445.65,1183.65,2024.0
United Kingdom,Other chemicals,11.0,210.1738868,115571.4945,115781.6684,2024.0
United Kingdom,Power generation,1.0,112.3924528,,112.3924528,2024.0
